Fold,Accuracy,Precision,Recall,F1-Score,ROC AUC,Specificity,Kappa,MCC,Confusion Matrix
1,0.9936402393024439,0.988294227123302,0.9990856660571107,0.9936606479255017,0.9999046112918617,0.9882190246122606,0.9872807242219773,0.9873393220178343,"[[56453,  673],
 [   52,56820]]"
2,0.993666499995614,0.9883858404617846,0.9990509999648518,0.9936898040518101,0.9998778094699371,0.9883002014186881,0.9873331946965888,0.9873904832792909,"[[56427,  668],
 [   54,56848]]"
3,0.994166513153855,0.9900246348148919,0.9984253897160453,0.9942072666138206,0.9998891929112077,0.9898838845883181,0.9883326600196031,0.9883684433394052,"[[56265,  575],
 [   90,57067]]"
4,0.9935524619068923,0.9884372932121339,0.9987507258107086,0.9935672463438329,0.9998853617288835,0.9883842978098104,0.9871052046297002,0.9871586281275688,"[[56500,  664],
 [   71,56762]]"
5,0.9935349175855505,0.9880772896629408,0.9991413451091719,0.9935785172212492,0.9998910844504277,0.9879151955876412,0.9870696453696528,0.9871316817363828,"[[56243,  688],
 [   49,57017]]"
6,0.9941752853145258,0.9897184737491099,0.9987381482325313,0.9942078542891537,0.9999020321296178,0.9896027257718922,0.9883504446958941,0.9883915783508899,"[[56346,  592],
 [   72,56987]]"
7,0.9940086142617788,0.9891463414634146,0.9989443496314021,0.9940212015371552,0.9999079345508591,0.9891007697690692,0.9880174676787596,0.9880656667873673,"[[56537,  623],
 [   60,56777]]"
8,0.9939559812977534,0.9888307943511265,0.9991925858316366,0.9939846867060703,0.9999038873491713,0.98872424375274,0.9879120188462732,0.9879662116692488,"[[56382,  643],
 [   46,56926]]"
9,0.9937629937629938,0.989185717509417,0.9984581420611838,0.9938003017012111,0.999860843155206,0.9890553906153927,0.9875258105484688,0.9875693156505315,"[[56300,  623],
 [   88,56986]]"
10,0.9938068545663482,0.988870504223635,0.9988213148496736,0.9938210015928862,0.9998929413987431,0.9888196801623683,0.9876139560497935,0.9876636882776288,"[[56515,  639],
 [   67,56776]]"
Overall,0.9938270361147756,0.9888971116571756,0.9988608667264316,0.9938538527982692,0.9998915698435915,0.988800541408818,0.9876541126756712,0.9877045019236148,"[[56396.8,  638.8],
 [   64.9,56896.6]]"
