Fold,Accuracy,Precision,Recall,F1-Score,ROC AUC,Specificity,Kappa,MCC,Confusion Matrix
1,0.9776224144283233,0.9854163315639912,0.9694928963285976,0.9773897629071571,0.9983741574122363,0.9857157861569162,0.9552429988110401,0.955367192813379,"[[56310,  816],
 [ 1735,55137]]"
2,0.9764204321166347,0.9828292543906523,0.9697022951741591,0.9762216482077775,0.9982544088188533,0.9831158595323584,0.9528396644447172,0.9529243813684848,"[[56131,  964],
 [ 1724,55178]]"
3,0.9774555470758003,0.984313725490196,0.9705023006805815,0.9773592219324829,0.9983805944605064,0.9844475721323012,0.9549125096423215,0.9550070446557023,"[[55956,  884],
 [ 1686,55471]]"
4,0.9780871426441047,0.9845369098788992,0.9713018844685306,0.9778746169244124,0.9984249924707315,0.984833111748653,0.9561722100397005,0.956258124377015,"[[56297,  867],
 [ 1631,55202]]"
5,0.9773239646657368,0.9867765050660281,0.9676690148249395,0.9771293584718695,0.9983335604647195,0.9870018092076374,0.9546489069125453,0.9548283451921991,"[[56191,  740],
 [ 1845,55221]]"
6,0.9787625990157636,0.9849813598437778,0.9723969925866208,0.9786487225392234,0.9984554651383902,0.9851417331132108,0.957525726788234,0.9576040501157496,"[[56092,  846],
 [ 1575,55484]]"
7,0.9776046738072055,0.9870616947205972,0.9677674754121435,0.9773193678206871,0.9983701901499152,0.9873862841147656,0.9552065141463276,0.9553880436738963,"[[56439,  721],
 [ 1832,55005]]"
8,0.9775871294858637,0.9845594913714805,0.9703714105174471,0.9774139653297738,0.9983541196990926,0.9847961420429636,0.955173949094824,0.9552730518033541,"[[56158,  867],
 [ 1688,55284]]"
9,0.9781046869654465,0.9857941396375547,0.9702491502260223,0.9779598756710935,0.9984377202056894,0.9859810621365704,0.9562102129726809,0.9563294321498893,"[[56125,  798],
 [ 1698,55376]]"
10,0.9781046869654465,0.9853017341453396,0.9705680558731946,0.9778794001914283,0.9984023004506609,0.9856003079399517,0.9562072663334121,0.9563136187336803,"[[56331,  823],
 [ 1673,55170]]"
Overall,0.9777073277170325,0.9851571146108518,0.9700021476092235,0.9775195939995905,0.9983787509270794,0.9854019668125329,0.9554139959185803,0.9555293284883352,"[[56203. ,  832.6],
 [ 1708.7,55252.8]]"
