Fold,Accuracy,Precision,Recall,F1-Score,ROC AUC,Specificity,Kappa,MCC,Confusion Matrix
1,0.9473007712082262,0.9568733153638814,0.9342105263157895,0.9454061251664447,0.9930706162390902,0.9597989949748744,0.8944885848675898,0.8947285984277048,"[[764, 32],
 [ 50,710]]"
2,0.9473007712082262,0.9665775401069518,0.926923076923077,0.9463350785340314,0.9930230637060535,0.9677835051546392,0.894611989216049,0.8953695382472817,"[[751, 25],
 [ 57,723]]"
3,0.9504823151125402,0.9716981132075472,0.9279279279279279,0.9493087557603687,0.9937998961135208,0.9730077120822622,0.9009617221833004,0.9018760414074427,"[[757, 21],
 [ 56,721]]"
4,0.9556270096463022,0.9634760705289672,0.9503105590062112,0.9568480300187617,0.9949283643892339,0.9613333333333334,0.9111873554037108,0.9112786993528043,"[[721, 29],
 [ 40,765]]"
5,0.940192926045016,0.9658344283837057,0.9164588528678305,0.9404990403071019,0.9921179786258126,0.9654714475431607,0.8804657879140798,0.881690896135358,"[[727, 26],
 [ 67,735]]"
6,0.9569131832797427,0.9700272479564033,0.940554821664465,0.9550637156270959,0.9943633853457952,0.9724310776942355,0.9136990579252156,0.9141002906208893,"[[776, 22],
 [ 45,712]]"
7,0.9479099678456592,0.9848275862068966,0.9107142857142857,0.9463220675944334,0.9918423595118981,0.9857328145265889,0.8958787132293677,0.8984663942423895,"[[760, 11],
 [ 70,714]]"
8,0.9517684887459807,0.9656538969616909,0.9371794871794872,0.9512036434612882,0.991933829611249,0.9664516129032258,0.9035451549273642,0.9039406911020954,"[[749, 26],
 [ 49,731]]"
9,0.9491961414790997,0.9603580562659847,0.9399249061326659,0.9500316255534472,0.9921859996953863,0.958994708994709,0.8983760182459077,0.8985909101391925,"[[725, 31],
 [ 48,751]]"
10,0.9517684887459807,0.9674681753889675,0.9293478260869565,0.948024948024948,0.9933176726654988,0.9719169719169719,0.9030678354767151,0.9037028117991658,"[[796, 23],
 [ 52,684]]"
Overall,0.9498460063316774,0.9672794430370996,0.9313552269818697,0.948904303004792,0.993058316590354,0.9682922179124,0.89962822193893,0.9003744871474323,"[[752.6, 24.6],
 [ 53.4,724.6]]"
