Fold,Accuracy,Precision,Recall,F1-Score,ROC AUC,Specificity,Kappa,MCC,Confusion Matrix
1,0.9830347900840366,0.9918881168970705,0.9739590659727106,0.9828418325703538,0.999176421000096,0.9920701606974057,0.9660680481634557,0.9662252199793567,"[[56673,  453],
 [ 1481,55391]]"
2,0.9830785020658438,0.9886749515529717,0.9772942954553443,0.9829516831788173,0.999119081305494,0.98884315614327,0.9661562486778354,0.9662200508587622,"[[56458,  637],
 [ 1292,55610]]"
3,0.9835960595454266,0.9870328934618299,0.9801599104221705,0.9835843955195056,0.999122773609837,0.9870513722730472,0.9671925024281149,0.96721608156744,"[[56104,  736],
 [ 1134,56023]]"
4,0.9838241357228699,0.9849716896265853,0.9825453521721536,0.9837570248225076,0.9991232641016061,0.985095514659576,0.9676477679606568,0.9676506869466038,"[[56312,  852],
 [  992,55841]]"
5,0.9840785283823259,0.9864415136201159,0.9816878701853994,0.9840589511404657,0.999162085226442,0.9864748555268659,0.968157194044361,0.9681684623405211,"[[56161,  770],
 [ 1045,56021]]"
6,0.984648718825934,0.986917862487895,0.98235160097443,0.9846294377009152,0.9991815170961567,0.9869507183251959,0.9692975540017403,0.9693079510920773,"[[56195,  743],
 [ 1007,56052]]"
7,0.9838592243655535,0.9890447989471625,0.9784647324806024,0.9837263191410327,0.9991560248289852,0.989223233030091,0.9677172138495438,0.9677722780158557,"[[56544,  616],
 [ 1224,55613]]"
8,0.98323640095792,0.9877575607249792,0.9785859720564488,0.983150376934268,0.9991163340334114,0.9878825076720736,0.9664726500002614,0.9665142770907236,"[[56334,  691],
 [ 1220,55752]]"
9,0.9841136170250094,0.9857602447128316,0.9824613659459649,0.9841080407522136,0.9991687630415796,0.9857702510408798,0.9682273193317368,0.9682327554455901,"[[56113,  810],
 [ 1001,56073]]"
10,0.9833767555286542,0.9904670094258783,0.9760568583642665,0.9832091370648331,0.9991501280774694,0.9906568219197257,0.9667519475413798,0.9668537313400324,"[[56620,  534],
 [ 1361,55482]]"
Overall,0.9836846732503574,0.9878956641457319,0.979356702402949,0.9836017198824912,0.9991476392321077,0.9880018591288131,0.9673688445999085,0.9674161494676964,"[[56351.4,  684.2],
 [ 1175.7,55785.8]]"
