Fold,Accuracy,Precision,Recall,F1-Score,ROC AUC,Specificity,Kappa,MCC,Confusion Matrix
1,0.9778768048562255,0.9862577389686147,0.9691588127725419,0.9776335160254704,0.9984139784900563,0.9865560340300389,0.9557516845776106,0.9558947286003618,"[[56358,  768],
 [ 1754,55118]]"
2,0.9767274577401159,0.9826852922857906,0.9704755544620576,0.9765422601837361,0.9983183860536132,0.9829582275155443,0.9534538045915824,0.953527163436525,"[[56122,  973],
 [ 1680,55222]]"
3,0.977139749291648,0.9863069873589245,0.9678429588676802,0.9769877432799972,0.9983274838369129,0.9864883884588318,0.9542815316459301,0.9544497074041074,"[[56072,  768],
 [ 1838,55319]]"
4,0.9781924085721554,0.9875307246532824,0.9684866186898456,0.9779159634005508,0.9984186398205961,0.9878419984605696,0.956382014138443,0.956558891375735,"[[56469,  695],
 [ 1791,55042]]"
5,0.9775344965218383,0.9845836519141521,0.9703150737742263,0.9773972904990954,0.9983355930460762,0.9847710386257048,0.9550697020400215,0.9551702432495668,"[[56064,  867],
 [ 1694,55372]]"
6,0.9788854092651561,0.9849334516415261,0.9726949298094955,0.9787759348905289,0.9984958238792266,0.9850890442235414,0.9577713285018292,0.9578454317703319,"[[56089,  849],
 [ 1558,55501]]"
7,0.9776222181285472,0.984402327158511,0.9704945721976881,0.9773989775938904,0.9983636152666349,0.9847095871238628,0.9552422903260626,0.9553371090459796,"[[56286,  874],
 [ 1677,55160]]"
8,0.9774204584331166,0.9847960929701982,0.969792178614056,0.9772365488697867,0.9983097024548819,0.9850416483998247,0.9548405873721276,0.9549513250356081,"[[56172,  853],
 [ 1721,55251]]"
9,0.9778590664666614,0.9852684766750881,0.9702841924519046,0.9777189265536723,0.9984087869608613,0.9854540343973438,0.9557189484583523,0.9558297822888783,"[[56095,  828],
 [ 1696,55378]]"
10,0.9778678386273323,0.9833944398960596,0.9720282180743451,0.9776782949508533,0.9984041505156322,0.9836756832417679,0.955733955791941,0.9557974578744004,"[[56221,  933],
 [ 1590,55253]]"
Overall,0.9777125907902798,0.9850159183522147,0.9701573109713841,0.9775285456247582,0.9983796160324492,0.9852585684477031,0.95542458474439,0.9555361840081495,"[[56194.8,  840.8],
 [ 1699.9,55261.6]]"
