Fold,Accuracy,Precision,Recall,F1-Score,ROC AUC,Specificity,Kappa,MCC,Confusion Matrix
1,0.9972806540465622,0.9954277906243431,0.9991384160922774,0.9972796517954298,0.9996546095891157,0.995431152189896,0.9945613261640829,0.9945682054037599,"[[56865,  261],
 [   49,56823]]"
2,0.9971490477819591,0.9949608944412367,0.9993497592351762,0.9971504975669633,0.9996333048264676,0.9949557754619494,0.9942981217304936,0.9943077624521264,"[[56807,  288],
 [   37,56865]]"
3,0.9968069335157943,0.994669453880324,0.9989852511503403,0.9968226811682757,0.999676673927144,0.9946164672765658,0.9936137403803232,0.9936231460017294,"[[56534,  306],
 [   58,57099]]"
4,0.9971665921033009,0.9950070077084793,0.9993313743775624,0.997164502734543,0.9996849495222425,0.9950143446924637,0.9943332077335745,0.9943425439629209,"[[56879,  285],
 [   38,56795]]"
5,0.9969385159258577,0.9948350171875273,0.9990712508323696,0.9969486338797814,0.9996519125552037,0.9948007236830549,0.9938769923511488,0.9938860246824487,"[[56635,  296],
 [   53,57013]]"
6,0.9967367562304271,0.9944352376798953,0.999071136893391,0.9967477968946706,0.9996796651434149,0.9943974147318135,0.9934734727788261,0.9934842914787393,"[[56619,  319],
 [   53,57006]]"
7,0.9970350096932376,0.9948326297535427,0.9992434505691715,0.9970331618770079,0.9997405139613701,0.9948390482855144,0.9940700460640023,0.9940797615309632,"[[56865,  295],
 [   43,56794]]"
8,0.9967981613551233,0.9942893068580709,0.9993330056870041,0.9968047762030237,0.9997670621743845,0.9942656729504603,0.99359633642149,0.9936091083162657,"[[56698,  327],
 [   38,56934]]"
9,0.9969034272831742,0.9951982678842696,0.9986333531905947,0.996912851458306,0.9996021384114046,0.9951689123904222,0.9938068153469763,0.9938127512523002,"[[56648,  275],
 [   78,56996]]"
10,0.996912199443845,0.9946585874152817,0.9991731611632039,0.996910763181914,0.9996440587959704,0.9946635406095812,0.9938244291850308,0.9938346102836212,"[[56849,  305],
 [   47,56796]]"
Overall,0.996972729737928,0.9948314193432971,0.999133015919109,0.9969775316759915,0.9996734888906719,0.9948153052271721,0.9939454488155948,0.9939548205364874,"[[5.67399e+04,2.95700e+02],
 [4.94000e+01,5.69121e+04]]"
