Fold,Accuracy,Precision,Recall,F1-Score,ROC AUC,Specificity,Kappa,MCC,Confusion Matrix
1,0.9918945946420112,0.9980415895171628,0.9856871571247714,0.9918259023354564,0.9995279266143536,0.9980744319574274,0.983788662674007,0.9838637143809695,"[[57016,  110],
 [  814,56058]]"
2,0.9918857513794223,0.9971402689212953,0.9865734069101262,0.9918286940928084,0.9995061594200076,0.9971801383658814,0.9837711655682063,0.9838262243210147,"[[56934,  161],
 [  764,56138]]"
3,0.9910348517943455,0.9985966283552129,0.9835015833581189,0.990991626267078,0.9995016310433611,0.9986101337086559,0.9820703207120032,0.9821831594373354,"[[56761,   79],
 [  943,56214]]"
4,0.9915173206312446,0.9977902127811241,0.9851670684285538,0.9914384622876217,0.9995278080402528,0.9978308026030369,0.9830338768080659,0.9831121044774417,"[[57040,  124],
 [  843,55990]]"
5,0.9912541558111179,0.9979927169375611,0.9845091648266919,0.9912050881696527,0.9994977943477343,0.9980151411357608,0.982508567284367,0.9825984622059968,"[[56818,  113],
 [  884,56182]]"
6,0.9923331315736379,0.9985801757032567,0.9860845791198584,0.9922930408098479,0.999563218594224,0.9985949629421476,0.9846664497495077,0.9847437123387605,"[[56858,   80],
 [  794,56265]]"
7,0.9912629279717887,0.9954747919291583,0.9869627179478156,0.9912004806163197,0.9995431186389109,0.9955388383484954,0.982525293478793,0.9825610134474944,"[[56905,  255],
 [  741,56096]]"
8,0.9909383580269656,0.9973504987819407,0.9844836059818859,0.9908752837671917,0.9995327821725759,0.9973871109162648,0.9818766034824138,0.9819582493677068,"[[56876,  149],
 [  884,56088]]"
9,0.9909208137056238,0.9978854594239209,0.9839506605459579,0.9908690704096126,0.9995142005725492,0.9979094566344009,0.9818419318683256,0.981937927284148,"[[56804,  119],
 [  916,56158]]"
10,0.9916752195233208,0.9985194434534428,0.9847650546241402,0.9915945546176806,0.9995545197143886,0.9985477831822794,0.9833496911180917,0.9834424969261116,"[[57071,   83],
 [  866,55977]]"
Overall,0.9914717125059479,0.9977371785804076,0.985168499886792,0.9914122203373269,0.9995269159158358,0.9977688799794351,0.9829432562743781,0.9830227064186978,"[[56908.3,  127.3],
 [  844.9,56116.6]]"
